year,temp,tempmax,yearmax
1950,15,16.9,2017
1951,14.7
1952,15.1
1953,15.5
1954,15
1955,16.4
1956,14
1957,14.7
1958,15.5
1959,14.7
1960,15.1
1961,16
1962,15.2
1963,15.1
1964,15.9
1965,15.3
1966,15.3
1967,15.1
1968,15.4
1969,14.5
1970,15.1
1971,13.9
1972,13.9
1973,14.8
1974,14.5
1975,14.6
1976,14.2
1977,14.8
1978,14.8
1979,14.8
1980,15
1981,15.5
1982,15.2
1983,15.8
1984,14.5
1985,15.6
1989,16.1
1990,15.6
1991,14.9
1992,14.7
1993,14.5
1994,16
1995,16.6
1996,15.1
1997,16
1998,15.6
1999,15.8
2000,15.8
2001,16
2002,15.7
2003,16.1
2004,15.9
2005,15.9
2006,16.4
2007,15.6
2008,15.5
2009,16.3
2010,15.9
2011,16.1
2012,15.7
2013,15.1
2014,16.1
2015,16.6
2016,16.5
2017,16.9
