fecha,maxima
1950-06-29,37.6
1950-07-08,35.6
1951-07-21,38
1951-07-28,37.4
1952-06-25,36.2
1952-08-11,35
1952-08-12,36.5
1952-08-13,35.6
1957-08-01,37
1957-08-02,36.8
1957-08-03,35.6
1961-08-27,35
1961-08-28,35.2
1961-08-29,36
1962-08-01,35
1962-08-13,36
1962-08-19,35.8
1962-08-30,36.2
1964-07-15,36.2
1964-07-16,36.8
1964-07-17,36.6
1964-09-01,35
1965-06-19,35
1965-08-04,36.6
1965-08-05,38.8
1965-08-06,36.2
1966-08-11,35.8
1966-08-12,37.4
1966-09-07,35.6
1966-09-08,37
1966-09-10,35.8
1968-06-29,35.4
1968-06-30,37.2
1969-08-07,35.4
1970-07-27,35.8
1973-08-10,35.8
1973-08-13,35
1974-07-11,35.2
1974-07-29,36.4
1974-08-06,35.6
1974-08-15,35.8
1974-08-16,35.8
1975-07-13,35.8
1975-07-29,35.2
1975-07-30,36
1975-07-31,36.4
1975-08-02,35.2
1975-08-07,35.2
1978-07-16,36.4
1979-08-13,35.4
1981-07-29,37.4
1981-07-30,36.8
1982-07-05,35.4
1982-07-06,38.4
1982-07-07,38
1982-07-08,38.4
1983-07-30,36.8
1984-07-23,35.2
1985-07-25,35.6
1986-07-30,35.6
1987-08-12,36.4
1987-08-13,38.6
1987-08-14,36.6
1987-08-15,37.2
1987-08-16,37.4
1987-08-20,37.4
1987-09-12,35.6
1987-09-13,36.4
1987-09-16,35.4
1988-09-06,35.6
1988-09-07,37.2
1989-07-19,35.4
1989-07-20,38
1989-07-21,35.2
1990-07-19,35.4
1990-07-20,36.5
1990-07-21,37.1
1990-07-22,35.2
1990-07-25,35
1990-08-02,35.3
1990-08-04,37
1990-08-19,35.5
1991-07-10,36.7
1991-08-25,35.5
1991-08-26,36.2
1991-08-28,36.6
1992-07-26,35.7
1992-08-02,35
1994-08-03,35.5
1994-08-21,36.2
1995-07-19,37.2
1995-07-20,36.5
1995-07-24,36.4
1995-07-25,35.8
1996-07-22,36
1998-06-20,35
1998-07-19,36.2
1998-08-07,35.5
1998-08-08,37
1998-08-09,38.7
1998-08-10,37.8
1998-08-11,36.6
1999-07-02,35.5
1999-08-24,35.2
2000-07-31,35.2
2000-08-10,35.6
2001-06-25,37.4
2001-08-24,36
2003-06-21,36.6
2003-06-22,37
2003-07-12,35.5
2003-08-02,35.1
2003-08-03,36
2003-08-04,38
2003-08-05,37.4
2003-08-07,36.7
2003-08-08,36.2
2003-08-09,36.1
2003-08-10,36.3
2003-08-11,36.8
2003-08-12,38
2003-08-13,37.6
2004-07-31,35.4
2005-06-27,36
2005-07-14,36.2
2005-07-15,35.2
2006-07-10,36.5
2006-09-05,35.2
2006-09-06,35.2
2007-07-31,35.9
2007-08-04,36.3
2007-08-28,36
2009-07-26,35.2
2009-08-15,36.5
2009-08-18,36
2009-08-19,37
2009-08-23,36.5
2010-08-21,36.5
2010-08-22,36
2010-08-25,36.2
2010-08-26,36
2011-06-26,36.8
2011-06-27,35.6
2011-08-19,35.5
2011-08-20,37.2
2011-08-21,36.4
2012-07-18,35.1
2012-07-31,35
2012-08-09,37.2
2012-08-10,40.8
2012-08-17,38
2012-08-18,38.3
2012-08-19,36.9
2012-08-20,37.8
2012-08-21,35
2013-07-31,35.8
2013-08-01,36.8
2014-07-17,35.8
2015-06-30,36.8
2015-07-01,35.8
2015-07-03,35.5
2015-07-06,37.2
2015-07-10,36.5
2015-07-16,35
2015-08-05,35.4
2015-08-29,35.3
2016-07-18,36.2
2016-07-19,38
2016-08-23,36.8
2016-08-24,35.4
2016-08-25,35.5
2016-08-27,35.5
2016-09-03,36.5
2016-09-06,35
2016-09-07,36.6
2017-06-19,35.5
2017-07-17,35.4
2017-07-18,35.6
2017-08-14,35.2
2017-08-21,35.8
2018-08-06,35.8
2019-06-26,36.5
2019-06-27,36.5
2019-06-29,39.7
2019-07-19,35.5
2019-07-22,37.2
2019-07-23,38.2
2019-07-24,37.9
2019-07-25,38.9
2020-07-27,35.5
2020-07-30,37.1
2020-08-06,36.5
2020-08-07,38
2020-08-09,36.2
2020-08-20,35.6
2021-07-22,36.7
2021-08-14,37.1
